time,x,y,z,lat,lon,h,clock_bias_m,used_sats,pdop,gdop,east,north,up,horiz,three_d
2026-04-27T00:00:00,-2148744.8939,4426639.1248,4044654.4634,39.60860025,115.89250468,85.3057,-3.2788,9,1.830,2.083,1.0329,0.1181,-2.3357,1.0396,2.5566
2026-04-27T00:00:30,-2148744.9538,4426639.0964,4044654.7605,39.60860230,115.89250546,85.4955,-3.0819,9,1.835,2.089,1.0993,0.3466,-2.1458,1.1526,2.4358
2026-04-27T00:01:00,-2148744.6603,4426638.2481,4044654.6672,39.60860677,115.89250670,84.7494,-3.5311,9,1.839,2.094,1.2057,0.8430,-2.8919,1.4711,3.2446
2026-04-27T00:01:30,-2148744.5808,4426638.0809,4044653.6278,39.60860062,115.89250671,83.9441,-4.1271,9,1.844,2.100,1.2071,0.1602,-3.6972,1.2177,3.8926
2026-04-27T00:02:00,-2148744.6502,4426638.4157,4044653.9249,39.60860078,115.89250574,84.3889,-3.9228,9,1.849,2.105,1.1234,0.1778,-3.2524,1.1374,3.4455
2026-04-27T00:02:30,-2148744.3709,4426638.2650,4044653.4860,39.60859922,115.89250358,83.9106,-4.1534,9,1.854,2.111,0.9379,0.0038,-3.7307,0.9379,3.8468
2026-04-27T00:03:00,-2148744.4415,4426638.3142,4044653.4635,39.60859863,115.89250407,83.9542,-4.2364,9,1.858,2.117,0.9799,-0.0613,-3.6871,0.9818,3.8156
2026-04-27T00:03:30,-2148744.4293,4426638.4871,4044654.0683,39.60860196,115.89250306,84.4555,-3.8660,9,1.863,2.122,0.8935,0.3088,-3.1858,0.9453,3.3231
2026-04-27T00:04:00,-2148744.4512,4426638.8599,4044654.0405,39.60859979,115.89250139,84.7035,-3.8370,9,1.868,2.128,0.7504,0.0674,-2.9378,0.7534,3.0329
2026-04-27T00:04:30,-2148744.6442,4426638.2391,4044652.7588,39.60859362,115.89250657,83.5210,-4.6863,9,1.873,2.134,1.1951,-0.6177,-4.1203,1.3453,4.3344
2026-04-27T00:05:00,-2148744.5929,4426638.4978,4044654.1381,39.60860198,115.89250472,84.5624,-3.9051,9,1.878,2.139,1.0360,0.3109,-3.0789,1.0816,3.2634
2026-04-27T00:05:30,-2148744.8154,4426638.6250,4044654.3090,39.60860195,115.89250640,84.8345,-3.7479,9,1.882,2.145,1.1805,0.3076,-2.8069,1.2200,3.0605
2026-04-27T00:06:00,-2148744.4974,4426638.7192,4044654.2986,39.60860219,115.89250259,84.7861,-3.8818,9,1.887,2.150,0.8533,0.3342,-2.8552,0.9164,2.9987
2026-04-27T00:06:30,-2148744.8246,4426638.3434,4044654.0230,39.60860140,115.89250793,84.4600,-4.0867,9,1.892,2.156,1.3118,0.2463,-3.1813,1.3347,3.4500
2026-04-27T00:07:00,-2148744.7570,4426638.2329,4044654.0548,39.60860236,115.89250779,84.3809,-4.2098,9,1.896,2.161,1.2993,0.3530,-3.2604,1.3464,3.5274
2026-04-27T00:07:30,-2148744.3462,4426637.8215,4044653.0884,39.60859881,115.89250557,83.3415,-5.0257,9,1.901,2.167,1.1094,-0.0413,-4.2998,1.1102,4.4408
2026-04-27T00:08:00,-2148744.4561,4426638.0059,4044653.5157,39.60860055,115.89250579,83.7787,-4.6549,9,1.906,2.172,1.1277,0.1515,-3.8626,1.1379,4.0267
2026-04-27T00:08:30,-2148744.5278,4426638.0001,4044653.7090,39.60860174,115.89250657,83.9220,-4.4824,9,1.910,2.178,1.1947,0.2839,-3.7193,1.2280,3.9168
2026-04-27T00:09:00,-2148744.4694,4426638.6364,4044654.2669,39.60860247,115.89250272,84.6991,-4.0699,9,1.915,2.183,0.8644,0.3650,-2.9422,0.9383,3.0882
2026-04-27T00:09:30,-2148744.2357,4426638.3798,4044654.3540,39.60860498,115.89250158,84.4981,-4.1009,9,1.919,2.188,0.7661,0.6443,-3.1432,1.0011,3.2988
2026-04-27T00:10:00,-2148744.3559,4426637.5796,4044653.1842,39.60860070,115.89250691,83.2382,-5.2356,9,1.924,2.193,1.2237,0.1686,-4.4032,1.2353,4.5732
2026-04-27T00:10:30,-2148744.7348,4426638.7067,4044654.2346,39.60860122,115.89250514,84.8165,-4.1094,9,1.928,2.198,1.0724,0.2259,-2.8248,1.0959,3.0300
2026-04-27T00:11:00,-2148744.3152,4426637.5052,4044653.1418,39.60860089,115.89250686,83.1459,-5.1371,9,1.932,2.203,1.2196,0.1899,-4.4954,1.2343,4.6618
