time,x,y,z,lat,lon,h,clock_bias_m,used_sats,pdop,gdop,residual_rms_m,residual_max_m,east,north,up,horiz,three_d
2026-04-27T00:00:00,-2148743.9776,4426639.3748,4044653.7958,39.60859662,115.89249381,84.7450,-3.6459,9,3.996,4.844,0.9554,1.5828,0.0995,-0.2845,-2.8963,0.3014,2.9120
2026-04-27T00:00:30,-2148744.1486,4426639.5582,4044654.0771,39.60859720,115.89249467,85.1091,-3.3170,9,4.010,4.861,0.9297,1.7400,0.1732,-0.2206,-2.5323,0.2804,2.5478
2026-04-27T00:01:00,-2148744.1828,4426639.1217,4044654.3959,39.60860158,115.89249725,85.0213,-3.2875,9,4.024,4.879,0.8354,1.7381,0.3946,0.2659,-2.6201,0.4758,2.6629
2026-04-27T00:01:30,-2148743.7987,4426638.8596,4044653.4656,39.60859744,115.89249456,84.1173,-3.9451,9,4.039,4.897,0.9634,2.0734,0.1635,-0.1936,-3.5240,0.2534,3.5331
2026-04-27T00:02:00,-2148743.9820,4426639.0941,4044653.9468,39.60859911,115.89249529,84.6482,-3.6854,9,4.054,4.915,0.8442,1.8073,0.2260,-0.0084,-2.9931,0.2261,3.0017
2026-04-27T00:02:30,-2148743.8467,4426638.9711,4044653.3840,39.60859618,115.89249450,84.1587,-3.9315,9,4.069,4.933,0.7463,1.5476,0.1580,-0.3338,-3.4826,0.3693,3.5022
2026-04-27T00:03:00,-2148743.6702,4426639.0960,4044653.3564,39.60859578,115.89249201,84.1683,-4.0248,9,4.085,4.952,0.9412,2.0209,-0.0553,-0.3775,-3.4731,0.3816,3.4940
2026-04-27T00:03:30,-2148743.8307,4426639.4165,4044654.0582,39.60859859,115.89249206,84.8918,-3.4936,9,4.101,4.972,0.8582,1.9858,-0.0509,-0.0654,-2.7495,0.0829,2.7508
2026-04-27T00:04:00,-2148743.8143,4426639.5266,4044653.8740,39.60859679,115.89249133,84.8452,-3.6838,9,4.117,4.991,0.7978,1.7278,-0.1137,-0.2659,-2.7961,0.2892,2.8110
2026-04-27T00:04:30,-2148744.1017,4426639.0147,4044653.0244,39.60859282,115.89249694,84.0454,-4.2581,9,4.133,5.011,0.7505,1.6904,0.3683,-0.7069,-3.5959,0.7971,3.6832
