time,x,y,z,lat,lon,h,clock_bias_m,used_sats,pdop,gdop,residual_rms_m,residual_max_m,east,north,up,horiz,three_d
2026-04-27T00:00:00,-3120041.2584,4084612.2603,3764024.5132,36.39942479,127.37449059,113.3858,-3.9730,8,3.802,4.623,0.5512,0.9938,0.2190,-0.2739,-3.2538,0.3507,3.2726
2026-04-27T00:00:30,-3120040.6247,4084612.3048,3764024.2167,36.39942451,127.37448467,112.9287,-4.2809,8,3.805,4.627,0.7287,1.4649,-0.3117,-0.3053,-3.7109,0.4363,3.7364
2026-04-27T00:01:00,-3120040.5835,4084611.2934,3764023.5860,36.39942436,127.37449115,111.8874,-5.2993,8,3.809,4.630,0.8633,1.9933,0.2695,-0.3212,-4.7522,0.4193,4.7707
2026-04-27T00:01:30,-3120040.5465,4084611.7836,3764023.8667,36.39942444,127.37448751,112.3494,-4.9247,8,3.812,4.634,0.8106,1.8846,-0.0574,-0.3130,-4.2902,0.3183,4.3020
2026-04-27T00:02:00,-3120040.7285,4084612.6670,3764025.6195,36.39943281,127.37448314,114.0435,-3.9934,8,3.815,4.637,0.4863,1.2156,-0.4490,0.6157,-2.5961,0.7620,2.7056
2026-04-27T00:02:30,-3120040.7622,4084612.4161,3764024.6861,36.39942699,127.37448514,113.3456,-4.5010,8,3.819,4.640,0.2938,0.7301,-0.2699,-0.0295,-3.2939,0.2715,3.3051
2026-04-27T00:03:00,-3120041.0672,4084612.7645,3764024.7423,36.39942493,127.37448548,113.7509,-4.0346,8,3.822,4.644,0.6986,1.8785,-0.2390,-0.2584,-2.8887,0.3520,2.9101
2026-04-27T00:03:30,-3120039.9714,4084610.6720,3764023.2679,36.39942668,127.37448993,111.0021,-6.4678,8,3.825,4.647,1.1452,2.2270,0.1604,-0.0637,-5.6375,0.1726,5.6402
2026-04-27T00:04:00,-3120040.1777,4084611.0679,3764022.6763,36.39942004,127.37448908,111.0050,-6.3164,8,3.828,4.650,0.7079,1.7321,0.0839,-0.8009,-5.6346,0.8052,5.6918
2026-04-27T00:04:30,-3120040.3926,4084611.5679,3764023.3334,36.39942199,127.37448760,111.8198,-5.4629,8,3.832,4.653,0.9456,2.4763,-0.0487,-0.5852,-4.8198,0.5872,4.8555
2026-04-27T00:05:00,-3120040.3289,4084612.1250,3764024.8908,36.39943112,127.37448327,113.0692,-4.6711,8,3.835,4.657,0.7691,1.3813,-0.4375,0.4286,-3.5704,0.6125,3.6225
2026-04-27T00:05:30,-3120040.6433,4084611.4520,3764024.2606,36.39942839,127.37449061,112.4183,-5.3189,8,3.838,4.660,0.3413,0.6399,0.2208,0.1255,-4.2212,0.2540,4.2289
2026-04-27T00:06:00,-3120040.7286,4084611.9501,3764024.6254,36.39942864,127.37448799,112.9951,-4.6860,8,3.841,4.662,0.3791,0.9797,-0.0137,0.1535,-3.6445,0.1541,3.6478
2026-04-27T00:06:30,-3120040.3981,4084612.1902,3764024.0385,36.39942444,127.37448344,112.6389,-4.9055,7,4.597,5.640,0.3787,0.9233,-0.4221,-0.3130,-4.0006,0.5255,4.0350
2026-04-27T00:07:00,-3120040.8154,4084611.7515,3764023.4698,36.39942082,127.37449010,112.2248,-5.4215,8,3.846,4.668,0.8532,1.5236,0.1757,-0.7142,-4.4148,0.7355,4.4756
2026-04-27T00:07:30,-3120040.5831,4084612.1366,3764024.9336,36.39943056,127.37448544,113.2262,-4.7403,8,3.849,4.671,0.2507,0.3556,-0.2426,0.3661,-3.4134,0.4392,3.4416
2026-04-27T00:08:00,-3120039.4087,4084610.8012,3764023.1265,36.39942694,127.37448407,110.7259,-6.8510,8,3.852,4.673,0.4298,0.8941,-0.3652,-0.0357,-5.9137,0.3670,5.9251
2026-04-27T00:08:30,-3120040.8157,4084612.2589,3764024.6849,36.39942748,127.37448667,113.2705,-4.9994,8,3.854,4.675,0.7878,1.5262,-0.1320,0.0244,-3.3691,0.1342,3.3718
2026-04-27T00:09:00,-3120040.4770,4084611.7989,3764024.1761,36.39942684,127.37448679,112.5089,-5.6628,8,3.856,4.677,0.4519,1.1971,-0.1220,-0.0462,-4.1307,0.1304,4.1328
2026-04-27T00:09:30,-3120040.4619,4084611.0336,3764022.4919,36.39941793,127.37449183,111.0125,-6.6295,8,4.290,5.213,0.7263,1.7083,0.3306,-1.0354,-5.6271,1.0869,5.7311
2026-04-27T00:10:00,-3120039.7535,4084610.3810,3764022.2833,36.39942149,127.37448997,110.1252,-7.6265,8,4.304,5.229,0.6916,1.6445,0.1638,-0.6405,-6.5144,0.6611,6.5478
2026-04-27T00:10:30,-3120039.6944,4084610.7230,3764022.6281,36.39942273,127.37448713,110.5196,-7.1518,7,4.728,5.798,0.3093,0.6153,-0.0908,-0.5029,-6.1199,0.5110,6.1412
2026-04-27T00:11:00,-3120039.6689,4084611.2049,3764023.0514,36.39942383,127.37448365,111.0666,-6.7677,7,4.744,5.817,0.2286,0.4619,-0.4036,-0.3802,-5.5729,0.5545,5.6005
2026-04-27T00:11:30,-3120041.1559,4084611.0449,3764022.2560,36.39941392,127.37449790,111.2188,-6.5711,8,4.405,5.358,0.3122,0.7619,0.8753,-1.4807,-5.4208,1.7200,5.6871
2026-04-27T00:12:00,-3120040.5549,4084611.3242,3764023.4416,36.39942328,127.37449069,111.8074,-5.8957,8,4.422,5.379,0.8371,2.3210,0.2281,-0.4416,-4.8322,0.4971,4.8577
2026-04-27T00:12:30,-3120040.5606,4084611.4471,3764024.0760,36.39942734,127.37448991,112.2652,-5.9265,8,4.439,5.400,0.8024,2.0392,0.1580,0.0090,-4.3743,0.1583,4.3772
2026-04-27T00:13:00,-3120040.9734,4084611.2933,3764023.4225,36.39942191,127.37449460,111.9808,-5.7150,8,4.456,5.420,0.3613,0.6558,0.5794,-0.5931,-4.6588,0.8292,4.7320
2026-04-27T00:13:30,-3120041.1883,4084611.0082,3764022.5022,36.39941575,127.37449844,111.3573,-6.2764,8,4.472,5.441,1.3583,3.6288,0.9233,-1.2768,-5.2823,1.5757,5.5123
2026-04-27T00:14:00,-3120040.8815,4084611.2479,3764023.8382,36.39942542,127.37449410,112.1535,-5.5825,8,4.489,5.461,0.9776,2.6465,0.5340,-0.2041,-4.4860,0.5717,4.5223
2026-04-27T00:14:30,-3120040.1986,4084611.1103,3764023.1222,36.39942303,127.37448898,111.3069,-6.3540,8,4.505,5.480,0.7104,1.6423,0.0748,-0.4694,-5.3327,0.4754,5.3538
2026-04-27T00:15:00,-3120041.0507,4084611.7682,3764023.3137,36.39941886,127.37449208,112.2577,-5.7788,8,4.521,5.500,0.7352,1.6449,0.3526,-0.9325,-4.3819,0.9970,4.4938
2026-04-27T00:15:30,-3120040.4143,4084612.1477,3764025.2051,36.39943303,127.37448387,113.3119,-5.1183,8,4.537,5.519,0.7763,1.4367,-0.3834,0.6401,-3.3277,0.7462,3.4103
2026-04-27T00:16:00,-3120040.5846,4084610.6722,3764022.4232,36.39941857,127.37449536,110.8005,-7.1789,8,4.552,5.538,0.3805,0.9458,0.6475,-0.9646,-5.8391,1.1617,5.9535
2026-04-27T00:16:30,-3120040.4555,4084612.5457,3764026.3093,36.39943921,127.37448154,114.2419,-4.2336,8,4.567,5.556,0.9429,2.3326,-0.5924,1.3264,-2.3977,1.4527,2.8034
2026-04-27T00:17:00,-3120040.4760,4084611.1287,3764023.7450,36.39942657,127.37449131,111.8239,-6.0750,8,4.582,5.574,0.7332,1.3064,0.2841,-0.0768,-4.8157,0.2943,4.8247
2026-04-27T00:17:30,-3120040.8022,4084611.8509,3764023.5819,36.39942126,127.37448931,112.3484,-5.6729,8,4.596,5.592,0.8124,2.1925,0.1049,-0.6662,-4.2912,0.6744,4.3439
2026-04-27T00:18:00,-3120040.4175,4084611.6185,3764023.6678,36.39942412,127.37448748,112.0627,-5.8001,8,4.611,5.609,0.2010,0.3327,-0.0597,-0.3488,-4.5768,0.3539,4.5905
2026-04-27T00:18:30,-3120041.0319,4084612.2564,3764024.1714,36.39942306,127.37448861,113.0698,-4.9484,8,4.624,5.626,0.5455,1.2328,0.0413,-0.4656,-3.5698,0.4675,3.6003
2026-04-27T00:19:00,-3120040.9650,4084610.6014,3764021.9306,36.39941406,127.37449921,110.6488,-6.8388,8,4.637,5.642,0.7836,1.6777,0.9928,-1.4647,-5.9908,1.7694,6.2466
2026-04-27T00:19:30,-3120040.2384,4084611.1914,3764023.4693,36.39942507,127.37448878,111.5842,-6.0938,8,4.650,5.657,0.8032,1.9109,0.0572,-0.2427,-5.0554,0.2493,5.0615
2026-04-27T00:20:00,-3120040.3641,4084611.3802,3764023.9173,36.39942711,127.37448862,112.0323,-5.6466,8,4.662,5.672,1.0022,2.7333,0.0425,-0.0164,-4.6073,0.0456,4.6075
2026-04-27T00:20:30,-3120040.7469,4084611.5974,3764023.3197,36.39942061,127.37449054,112.0036,-5.5745,8,4.674,5.686,1.0924,2.8572,0.2149,-0.7377,-4.6360,0.7684,4.6992
2026-04-27T00:21:00,-3120040.6596,4084611.3787,3764024.2802,36.39942879,127.37449125,112.3911,-5.3374,8,4.685,5.700,0.4331,0.7200,0.2782,0.1699,-4.2485,0.3260,4.2610
2026-04-27T00:21:30,-3120040.6456,4084611.1946,3764022.9003,36.39941961,127.37449237,111.4476,-6.1842,8,4.693,5.708,0.4854,1.3004,0.3789,-0.8488,-5.1920,0.9295,5.2746
2026-04-27T00:22:00,-3120040.8362,4084611.8191,3764024.0578,36.39942473,127.37448983,112.6271,-5.1943,8,4.697,5.713,0.5965,1.6317,0.1512,-0.2803,-4.0125,0.3185,4.0251
2026-04-27T00:22:30,-3120041.0109,4084611.6432,3764023.2866,36.39941932,127.37449257,112.1423,-5.5463,8,4.701,5.717,0.6605,1.6586,0.3969,-0.8810,-4.4973,0.9663,4.5999
2026-04-27T00:23:00,-3120041.0070,4084612.2071,3764024.3162,36.39942440,127.37448872,113.1120,-4.9807,8,4.705,5.721,0.5121,1.0342,0.0515,-0.3168,-3.5275,0.3210,3.5421
2026-04-27T00:23:30,-3120040.5905,4084611.5935,3764022.9943,36.39941877,127.37448918,111.7316,-5.9134,8,4.708,5.724,0.4459,1.1914,0.0930,-0.9415,-4.9079,0.9461,4.9983
2026-04-27T00:24:00,-3120041.1259,4084611.8544,3764023.5510,36.39941997,127.37449216,112.4904,-5.3121,8,4.710,5.726,0.8747,2.3248,0.3601,-0.8093,-4.1492,0.8858,4.2427
2026-04-27T00:24:30,-3120040.3797,4084611.6614,3764023.3506,36.39942176,127.37448685,111.8835,-6.1169,8,4.712,5.728,0.2191,0.3984,-0.1158,-0.6107,-4.7561,0.6216,4.7965
2026-04-27T00:25:00,-3120041.2003,4084611.7164,3764022.8310,36.39941509,127.37449375,112.0113,-5.6670,8,4.714,5.729,0.5720,1.1019,0.5030,-1.3505,-4.6283,1.4411,4.8475
2026-04-27T00:25:30,-3120040.9415,4084612.1493,3764024.1145,36.39942340,127.37448853,112.9234,-5.2061,8,4.714,5.729,0.6414,1.4834,0.0345,-0.4284,-3.7162,0.4298,3.7410
2026-04-27T00:26:00,-3120040.5670,4084611.1228,3764023.0698,36.39942140,127.37449216,111.4638,-6.5451,8,4.715,5.729,0.5971,1.2767,0.3600,-0.6503,-5.1758,0.7433,5.2289
2026-04-27T00:26:30,-3120040.8574,4084611.2809,3764023.1291,36.39942021,127.37449366,111.7421,-6.1644,8,4.714,5.728,0.7314,1.7800,0.4949,-0.7816,-4.8975,0.9251,4.9841
2026-04-27T00:27:00,-3120040.2040,4084610.6228,3764022.9480,36.39942382,127.37449233,110.8945,-6.9221,8,4.714,5.726,0.8889,2.2652,0.3750,-0.3817,-5.7451,0.5352,5.7700
2026-04-27T00:27:30,-3120040.7828,4084611.3800,3764022.9152,36.39941848,127.37449233,111.6421,-6.5805,8,4.712,5.723,0.7850,2.0687,0.3753,-0.9737,-4.9975,1.0436,5.1053
2026-04-27T00:28:00,-3120040.2333,4084611.3099,3764023.6375,36.39942580,127.37448794,111.7574,-6.4574,8,4.710,5.720,0.3925,0.9797,-0.0187,-0.1613,-4.8822,0.1624,4.8849
2026-04-27T00:28:30,-3120041.0558,4084611.7620,3764024.1396,36.39942486,127.37449216,112.7464,-5.5362,8,4.708,5.717,0.6627,1.6131,0.3604,-0.2666,-3.8932,0.4483,3.9189
2026-04-27T00:29:00,-3120040.9630,4084611.0518,3764022.8806,36.39941904,127.37449615,111.4997,-6.4635,8,4.705,5.712,0.1327,0.2673,0.7178,-0.9117,-5.1399,1.1604,5.2693
2026-04-27T00:29:30,-3120040.9239,4084612.0454,3764023.3148,36.39941810,127.37448908,112.3738,-5.6743,8,4.701,5.707,0.3572,0.6841,0.0836,-1.0167,-4.2658,1.0201,4.3860
2026-04-27T00:30:00,-3120039.8731,4084610.3716,3764022.5711,36.39942323,127.37449109,110.3484,-7.7016,8,4.697,5.701,0.7502,1.9962,0.2645,-0.4474,-6.2912,0.5198,6.3126
2026-04-27T00:30:30,-3120041.3163,4084612.3242,3764025.1171,36.39942871,127.37449067,113.8133,-4.7136,9,4.613,5.587,0.8381,1.6082,0.2262,0.1612,-2.8263,0.2777,2.8399
2026-04-27T00:31:00,-3120040.4819,4084611.8653,3764023.3774,36.39942075,127.37448638,112.0798,-6.2076,9,4.608,5.581,0.5768,1.3276,-0.1583,-0.7221,-4.5598,0.7393,4.6194
2026-04-27T00:31:30,-3120040.5999,4084610.5322,3764021.9818,36.39941591,127.37449645,110.4566,-7.4411,9,4.603,5.573,0.7476,1.5762,0.7447,-1.2593,-6.1830,1.4630,6.3537
2026-04-27T00:32:00,-3120040.9169,4084612.1643,3764024.6460,36.39942727,127.37448821,113.2363,-5.2755,9,4.597,5.566,0.8282,1.6333,0.0059,0.0013,-3.4033,0.0060,3.4033
2026-04-27T00:32:30,-3120041.0584,4084612.3613,3764023.9208,36.39942071,127.37448813,113.0011,-5.2429,9,4.590,5.557,0.7526,1.9636,-0.0013,-0.7263,-3.6384,0.7263,3.7102
2026-04-27T00:33:00,-3120040.8974,4084611.9000,3764023.4405,36.39941971,127.37448983,112.3424,-5.6802,9,4.583,5.548,0.8202,1.6035,0.1508,-0.8374,-4.2972,0.8509,4.3806
2026-04-27T00:33:30,-3120040.6849,4084611.9196,3764023.3702,36.39941981,127.37448781,112.2094,-6.2594,9,4.575,5.538,0.8678,1.7444,-0.0300,-0.8267,-4.4302,0.8273,4.5068
2026-04-27T00:34:00,-3120040.3858,4084611.7842,3764023.7636,36.39942421,127.37448608,112.2101,-6.0228,9,4.567,5.528,0.4734,1.1516,-0.1855,-0.3385,-4.4295,0.3860,4.4463
2026-04-27T00:34:30,-3120041.1278,4084612.0476,3764023.8430,36.39942126,127.37449087,112.7882,-5.5378,9,4.558,5.517,0.6140,1.4162,0.2443,-0.6660,-3.8514,0.7094,3.9162
2026-04-27T00:35:00,-3120041.1439,4084612.4024,3764024.7691,36.39942641,127.37448861,113.5725,-4.8709,9,4.548,5.505,0.6803,1.2133,0.0417,-0.0937,-3.0671,0.1026,3.0688
2026-04-27T00:35:30,-3120040.5639,4084611.7459,3764023.3293,36.39942064,127.37448791,112.0149,-6.3030,9,4.539,5.493,0.8622,1.6637,-0.0207,-0.7341,-4.6247,0.7344,4.6827
2026-04-27T00:36:00,-3120041.5180,4084613.1047,3764025.7146,36.39942907,127.37448717,114.7657,-4.2566,9,4.529,5.481,0.5565,1.0363,-0.0873,0.2014,-1.8739,0.2195,1.8867
2026-04-27T00:36:30,-3120041.2217,4084612.8148,3764025.1882,36.39942745,127.37448651,114.1231,-4.6192,9,4.508,5.454,0.3809,0.8617,-0.1468,0.0211,-2.5165,0.1483,2.5209
