time,x,y,z,lat,lon,h,clock_bias_m,used_sats,pdop,gdop,residual_rms_m,residual_max_m,east,north,up,horiz,three_d
2026-04-27T00:00:00,-2393383.0453,5393860.8564,2412591.9109,22.37200076,113.92798823,95.0743,1.3163,8,3.835,4.673,0.5273,0.9932,0.7044,-0.4487,-0.2236,0.8352,0.8646
2026-04-27T00:00:30,-2393382.9255,5393860.7133,2412591.8680,22.37200102,113.92798773,94.8920,1.1911,8,3.844,4.684,0.5369,1.1005,0.6530,-0.4202,-0.4058,0.7765,0.8761
2026-04-27T00:01:00,-2393382.8418,5393860.5905,2412591.8836,22.37200165,113.92798747,94.7628,1.3063,8,3.853,4.696,0.5614,1.1608,0.6262,-0.3501,-0.5351,0.7175,0.8950
2026-04-27T00:01:30,-2393382.8190,5393860.6086,2412591.9759,22.37200240,113.92798720,94.8046,1.4684,8,3.863,4.708,0.5631,1.1348,0.5980,-0.2675,-0.4932,0.6552,0.8201
2026-04-27T00:02:00,-2393382.7848,5393860.4274,2412591.9460,22.37200277,113.92798761,94.6273,1.1136,8,3.873,4.722,0.5773,1.0360,0.6403,-0.2269,-0.6706,0.6793,0.9545
2026-04-27T00:02:30,-2393382.7861,5393860.3798,2412591.9621,22.37200305,113.92798781,94.5937,1.3973,8,3.883,4.735,0.6230,0.9401,0.6608,-0.1956,-0.7042,0.6891,0.9853
2026-04-27T00:03:00,-2393382.8583,5393860.2931,2412591.8941,22.37200265,113.92798879,94.5216,0.8236,8,3.895,4.750,0.6422,0.9727,0.7619,-0.2395,-0.7763,0.7987,1.1138
2026-04-27T00:03:30,-2393382.8856,5393860.1637,2412591.7729,22.37200201,113.92798954,94.3763,0.8962,8,3.906,4.765,0.6559,0.9095,0.8394,-0.3107,-0.9215,0.8951,1.2847
2026-04-27T00:04:00,-2393382.9462,5393860.3209,2412591.7580,22.37200130,113.92798946,94.5262,0.9144,8,3.919,4.781,0.5899,0.7728,0.8310,-0.3886,-0.7716,0.9174,1.1988
2026-04-27T00:04:30,-2393382.9682,5393860.4820,2412591.8685,22.37200169,113.92798902,94.7127,0.9441,8,3.932,4.798,0.5641,0.7903,0.7858,-0.3459,-0.5851,0.8586,1.0390
2026-04-27T00:05:00,-2393382.9052,5393860.4223,2412591.8895,22.37200214,113.92798870,94.6466,1.0568,8,3.945,4.815,0.5433,0.7359,0.7525,-0.2959,-0.6512,0.8086,1.0382
2026-04-27T00:05:30,-2393382.8202,5393860.2796,2412591.8633,22.37200249,113.92798850,94.4842,1.1680,8,3.950,4.820,0.5015,0.6651,0.7326,-0.2574,-0.8137,0.7765,1.1247
2026-04-27T00:06:00,-2393382.7641,5393860.2403,2412591.8507,22.37200259,113.92798816,94.4251,0.8619,8,3.954,4.826,0.4832,0.7605,0.6973,-0.2467,-0.8728,0.7397,1.1440
2026-04-27T00:06:30,-2393382.8201,5393860.2499,2412592.0163,22.37200386,113.92798862,94.5172,0.9726,8,3.959,4.832,0.4488,0.8443,0.7446,-0.1056,-0.7806,0.7520,1.0839
