time,x,y,z,lat,lon,h,clock_bias_m,used_sats,pdop,gdop,residual_rms_m,residual_max_m,east,north,up,horiz,three_d
2026-04-27T00:00:00,-2994427.0668,4951303.9224,2674495.2898,24.95357218,121.16451894,196.2202,1.9489,7,4.987,6.403,0.3542,0.5932,1.0562,0.9766,-6.5535,1.4384,6.7095
2026-04-27T00:00:30,-2994426.8907,4951304.2118,2674495.3195,24.95357183,121.16451597,196.3746,2.2920,7,4.978,6.392,0.5251,0.6638,0.7557,0.9374,-6.3990,1.2041,6.5113
2026-04-27T00:01:00,-2994426.8544,4951304.4313,2674495.6071,24.95357354,121.16451453,196.6492,2.4213,7,4.970,6.381,0.5218,0.7000,0.6111,1.1269,-6.1245,1.2819,6.2572
2026-04-27T00:01:30,-2994426.7392,4951304.3727,2674495.1456,24.95357018,121.16451386,196.3551,2.2338,7,4.962,6.371,0.4187,0.6075,0.5428,0.7548,-6.4186,0.9297,6.4856
2026-04-27T00:02:00,-2994426.4708,4951304.0704,2674495.2132,24.95357225,121.16451313,196.0231,1.8949,7,4.954,6.361,0.5612,0.8349,0.4695,0.9838,-6.7506,1.0901,6.8380
2026-04-27T00:02:30,-2994426.5719,4951304.0092,2674495.2684,24.95357270,121.16451430,196.0463,1.8848,7,4.946,6.352,0.5939,0.7895,0.5877,1.0338,-6.7273,1.1892,6.8316
2026-04-27T00:03:00,-2994426.2987,4951303.7865,2674495.1077,24.95357265,121.16451313,195.6776,1.5298,7,4.939,6.343,0.5053,0.7253,0.4692,1.0282,-7.0961,1.1302,7.1855
2026-04-27T00:03:30,-2994426.5353,4951303.9033,2674495.1361,24.95357203,121.16451454,195.8912,1.7808,7,4.933,6.334,0.4728,0.7326,0.6113,0.9601,-6.8825,1.1382,6.9760
2026-04-27T00:04:00,-2994426.4447,4951303.8694,2674495.3380,24.95357397,121.16451394,195.9076,1.7213,7,4.926,6.326,0.5132,0.7626,0.5512,1.1752,-6.8661,1.2981,6.9877
2026-04-27T00:04:30,-2994426.5391,4951303.7781,2674495.3059,24.95357382,121.16451521,195.8675,1.6994,7,4.920,6.318,0.5215,0.7470,0.6792,1.1584,-6.9062,1.3428,7.0355
2026-04-27T00:05:00,-2994426.5386,4951304.2310,2674495.1511,24.95357108,121.16451288,196.1533,2.0146,7,4.914,6.311,0.4677,0.6420,0.4445,0.8548,-6.6204,0.9634,6.6901
2026-04-27T00:05:30,-2994426.3783,4951303.7522,2674495.2164,24.95357349,121.16451398,195.7342,1.4736,7,4.909,6.303,0.4846,0.7086,0.5551,1.1217,-7.0395,1.2516,7.1499
2026-04-27T00:06:00,-2994426.6319,4951304.0846,2674495.1899,24.95357169,121.16451443,196.0998,1.8537,7,4.903,6.297,0.4321,0.5970,0.6001,0.9224,-6.6739,1.1004,6.7640
2026-04-27T00:06:30,-2994426.6266,4951304.0940,2674495.0981,24.95357092,121.16451433,196.0659,1.8520,7,4.899,6.290,0.4163,0.5776,0.5907,0.8369,-6.7078,1.0244,6.7855
2026-04-27T00:07:00,-2994426.5033,4951303.7213,2674495.2629,24.95357373,121.16451520,195.7885,1.6012,7,4.894,6.284,0.4443,0.7122,0.6781,1.1478,-6.9852,1.3331,7.1113
