time,x,y,z,lat,lon,h,clock_bias_m,used_sats,pdop,gdop,residual_rms_m,residual_max_m,east,north,up,horiz,three_d
2026-04-27T00:00:00,-2994427.7821,4951306.7384,2674495.2506,24.95356127,121.16451057,198.7239,2.2674,16,2.657,3.231,0.9683,2.9841,0.2110,-0.2317,-4.0498,0.3134,4.0619
2026-04-27T00:00:30,-2994427.5765,4951306.7385,2674495.4541,24.95356334,121.16450883,198.7134,2.1487,16,2.654,3.228,1.1095,3.5500,0.0349,-0.0024,-4.0603,0.0350,4.0604
2026-04-27T00:01:00,-2994427.5356,4951306.8717,2674495.6830,24.95356486,121.16450780,198.8941,2.2899,16,2.652,3.225,1.0099,3.2129,-0.0690,0.1660,-3.8795,0.1798,3.8837
2026-04-27T00:01:30,-2994427.6584,4951306.9543,2674495.4589,24.95356252,121.16450842,198.9213,2.3922,16,2.649,3.222,1.1578,3.7626,-0.0066,-0.0938,-3.8524,0.0940,3.8536
2026-04-27T00:02:00,-2994427.8362,4951306.8868,2674495.6441,24.95356390,121.16451027,199.0304,2.3202,16,2.647,3.219,1.1177,3.2247,0.1804,0.0596,-3.7433,0.1900,3.7481
2026-04-27T00:02:30,-2994427.7815,4951306.9754,2674495.5952,24.95356332,121.16450935,199.0529,2.4816,16,2.645,3.216,1.1165,3.5207,0.0878,-0.0047,-3.7207,0.0880,3.7218
2026-04-27T00:03:00,-2994427.3986,4951306.7756,2674495.4356,24.95356342,121.16450713,198.6510,2.0843,16,2.642,3.213,1.2474,3.8943,-0.1365,0.0063,-4.1227,0.1366,4.1250
2026-04-27T00:03:30,-2994427.7449,4951307.1422,2674495.3964,24.95356122,121.16450819,199.0813,2.3336,16,2.640,3.210,1.0582,3.1343,-0.0298,-0.2372,-3.6924,0.2390,3.7001
2026-04-27T00:04:00,-2994427.5648,4951306.7763,2674495.6307,24.95356469,121.16450854,198.8118,2.2898,16,2.637,3.207,1.0572,3.2090,0.0053,0.1466,-3.9619,0.1467,3.9646
2026-04-27T00:04:30,-2994427.6180,4951306.8793,2674495.5735,24.95356378,121.16450846,198.8925,2.3985,16,2.635,3.204,1.0656,3.3477,-0.0024,0.0460,-3.8812,0.0460,3.8814
2026-04-27T00:05:00,-2994427.6771,4951306.9086,2674495.3609,24.95356183,121.16450881,198.8533,2.3683,16,2.633,3.201,1.0201,3.5337,0.0330,-0.1702,-3.9203,0.1734,3.9242
2026-04-27T00:05:30,-2994427.8275,4951306.8354,2674495.6557,24.95356418,121.16451046,198.9914,2.4148,16,2.631,3.198,1.1080,3.5235,0.1996,0.0906,-3.7823,0.2192,3.7886
2026-04-27T00:06:00,-2994427.6296,4951306.3982,2674495.0676,24.95356119,121.16451102,198.3113,1.7905,15,2.744,3.361,0.5753,1.3536,0.2565,-0.2416,-4.4624,0.3523,4.4763
2026-04-27T00:06:30,-2994427.9218,4951306.6508,2674495.0845,24.95355992,121.16451220,198.6514,2.0814,15,2.743,3.360,0.6899,1.9223,0.3758,-0.3812,-4.1222,0.5353,4.1568
2026-04-27T00:07:00,-2994427.5180,4951306.2736,2674495.0608,24.95356176,121.16451072,198.1593,1.6266,15,2.741,3.358,0.7695,1.8783,0.2255,-0.1784,-4.6143,0.2875,4.6233
2026-04-27T00:07:30,-2994427.5015,4951306.4852,2674494.9429,24.95356013,121.16450949,198.2660,1.7297,15,2.740,3.357,0.5535,1.3445,0.1019,-0.3580,-4.5077,0.3722,4.5230
