time,x,y,z,lat,lon,h,clock_bias_m,used_sats,pdop,gdop,residual_rms_m,residual_max_m,east,north,up,horiz,three_d
2026-04-27T00:00:00,-2994427.7920,4951308.0352,2674496.0330,24.95356343,121.16450401,200.0647,3.3685,9,3.892,4.750,0.8872,1.4807,-0.4517,0.0074,-2.7089,0.4517,2.7463
2026-04-27T00:00:30,-2994427.6762,4951308.0798,2674496.4571,24.95356699,121.16450280,200.2240,3.3998,9,3.892,4.750,0.9509,1.9206,-0.5738,0.4010,-2.5497,0.7001,2.6441
2026-04-27T00:01:00,-2994427.6114,4951308.0720,2674496.5174,24.95356763,121.16450229,200.2129,3.3785,9,3.893,4.749,0.8070,1.7780,-0.6253,0.4727,-2.5608,0.7838,2.6781
2026-04-27T00:01:30,-2994427.9216,4951308.3897,2674496.6907,24.95356740,121.16450329,200.6780,3.8517,9,3.894,4.749,0.9182,2.0172,-0.5242,0.4474,-2.0956,0.6891,2.2060
2026-04-27T00:02:00,-2994428.3088,4951308.3296,2674496.9439,24.95356891,121.16450688,200.9199,3.8849,9,3.895,4.749,0.8332,1.5578,-0.1618,0.6141,-1.8538,0.6350,1.9595
2026-04-27T00:02:30,-2994428.1207,4951308.4545,2674496.8180,24.95356784,121.16450465,200.8754,3.9897,9,3.896,4.749,0.7843,1.7797,-0.3874,0.4959,-1.8982,0.6293,1.9998
2026-04-27T00:03:00,-2994427.6839,4951308.3219,2674496.7204,24.95356834,121.16450163,200.5265,3.6398,9,3.897,4.749,1.0928,2.0228,-0.6926,0.5507,-2.2472,0.8848,2.4151
2026-04-27T00:03:30,-2994428.0125,4951308.6636,2674496.5525,24.95356520,121.16450266,200.8749,3.8145,9,3.898,4.750,0.7804,1.4153,-0.5882,0.2033,-1.8988,0.6223,1.9982
2026-04-27T00:04:00,-2994427.8387,4951308.1822,2674496.7560,24.95356878,121.16450365,200.5058,3.6913,9,3.900,4.750,0.8611,1.5317,-0.4878,0.5996,-2.2679,0.7729,2.3960
2026-04-27T00:04:30,-2994427.8370,4951308.3747,2674496.7295,24.95356794,121.16450265,200.6431,3.8475,9,3.901,4.750,0.8450,1.5382,-0.5888,0.5064,-2.1306,0.7767,2.2677
2026-04-27T00:05:00,-2994427.9349,4951308.0275,2674496.1571,24.95356419,121.16450526,200.1782,3.4558,9,3.902,4.750,0.8834,2.2741,-0.3254,0.0915,-2.5954,0.3380,2.6174
